Model,Feature,Mean Importance,CI Lower,CI Upper
SplineRegression,Occupation,0.014410721285663855,-0.059039148505107664,0.06479756383425753
SplineRegression,Sleep Duration,-0.025451208250113128,-0.08578124318229523,0.0157846914436439
SplineRegression,Quality of Sleep,-0.008158040294316339,-0.08110168538877643,0.05072933004347836
SplineRegression,Physical Activity Level,-0.013768117593876101,-0.07770890323685652,0.0270845163430481
SplineRegression,Age,0.005235990100627575,-0.06268069710123496,0.0627736111455958
